reliability_group,model,horizon,seed,sample_count,Pinball_q05,Pinball_q50,Pinball_q95,Pinball_Loss,PICP,MPIW,PINAW,median_MAE
Low,UQ_T2_best_environmental_M4_pressure,6,2025,4906,0.4702433155548121,0.7822304440672136,0.9080367552908506,0.7201701716376254,0.9170403587443946,22.030656186697485,0.27538320233371855,1.5644608881344273
Low,UQ_T2_best_environmental_M4_pressure,6,20260623,4906,0.471038312422126,0.7394415345718751,0.9081312943126936,0.7062037137688982,0.918263350998777,22.00613329646736,0.27507666620584204,1.4788830691437502
Low,UQ_T2_best_environmental_M4_pressure,6,20260715,4906,0.47176508019031727,0.7705755896632447,0.9080687886396339,0.7168031528310653,0.9156135344476152,21.913759510710538,0.2739219938838817,1.5411511793264894
Low,UQ_T2_best_environmental_M4_pressure,6,20260718,4906,0.47809678453646826,0.7618343483123593,0.9080962404639107,0.7160091244375795,0.9156135344476152,21.939168641579865,0.27423960801974834,1.5236686966247186
Low,UQ_aux_full_fusion,1,42,4777,0.47849617223997154,0.754333808728035,0.95643993560954,0.7297566388591822,0.9288256227758007,23.55339668494327,0.29441745856179086,1.50866761745607
Low,UQ_aux_full_fusion,1,2025,4777,0.4666002049165613,0.7708983142829625,0.9564372454374345,0.7313119215456528,0.9328030144442119,23.49232031846361,0.2936540039807951,1.541796628565925
Low,UQ_aux_full_fusion,1,20260623,4777,0.46882437771275526,0.7783366611170075,0.9563821642274567,0.7345144010190731,0.9319656688298095,23.479447016437508,0.29349308770546884,1.556673322234015
Low,UQ_aux_full_fusion,1,20260715,4777,0.47533126870583164,0.737867932103033,0.9564625565966287,0.7232205858018311,0.9336403600586142,23.487582158213858,0.2935947769776732,1.475735864206066
Low,UQ_aux_full_fusion,1,20260718,4777,0.465692586441631,0.7581912316810843,0.9564208061445061,0.7267682080890738,0.9315469960226084,23.582613942012742,0.29478267427515925,1.5163824633621685
Low,UQ_aux_full_fusion,3,42,4809,0.5656950105820606,0.8029411230247911,0.9270665618926636,0.7652342318331717,0.9243085880640466,22.612245396681303,0.28265306745851626,1.6058822460495823
Low,UQ_aux_full_fusion,3,2025,4809,0.5780730001394455,0.7913289997230128,0.9270876042038231,0.7654965346887606,0.9178623414431275,22.65760236412107,0.2832200295515134,1.5826579994460257
Low,UQ_aux_full_fusion,3,20260623,4809,0.5700366190352889,0.7950384340704689,0.9270970218021483,0.7640573583026353,0.9203576627157413,22.645626268805277,0.28307032836006596,1.5900768681409378
Low,UQ_aux_full_fusion,3,20260715,4809,0.577059395195764,0.828940163285352,0.9270797512739019,0.7776931032516726,0.9220212102308172,22.63267652813425,0.2829084566016781,1.657880326570704
Low,UQ_aux_full_fusion,3,20260718,4809,0.5656138875623781,0.7921689985992755,0.9271590995947231,0.7616473285854589,0.9222291536702018,22.54812800509936,0.281851600063742,1.584337997198551
Low,UQ_aux_full_fusion,6,42,4906,0.5343933813629275,0.850496029299811,0.9080091477217996,0.7642995194615128,0.921116999592336,22.3747653094205,0.27968456636775624,1.700992058599622
Low,UQ_aux_full_fusion,6,2025,4906,0.5339392136419446,0.8517578510279759,0.908034638468218,0.7645772343793795,0.918467183041174,22.379374589231904,0.27974218236539883,1.7035157020559517
Low,UQ_aux_full_fusion,6,20260623,4906,0.5273350164348916,0.8780979369544906,0.9080208899291552,0.771151281106179,0.9168365267019976,22.338630535531617,0.27923288169414523,1.7561958739089811
Low,UQ_aux_full_fusion,6,20260715,4906,0.5296028369307955,0.8269448418350935,0.9080106679245357,0.7548527822301416,0.924582144313086,22.357765445794758,0.27947206807243447,1.653889683670187
Low,UQ_aux_full_fusion,6,20260718,4906,0.5166661245017162,0.8398307632340541,0.9080644955112172,0.7548537944156625,0.9190786791683653,22.36281750535557,0.2795352188169446,1.6796615264681083
