variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,20260718,test,13387,266,1.4369990744832615,2.873091407591325,1.8819108366658805,0.9679367846811472,1.212974663518796,0.22402441096446557,18.46900992264577
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,42,test,13641,271,1.070125361539674,2.465355281495637,1.3955435071861544,0.9764918613391749,0.9980668375849404,0.07205852395473356,7.219809459764864
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,2025,test,13641,271,1.0792353331190636,2.4673660901354366,1.4066459099637934,0.976453497987525,0.9971901876580412,0.08204514546102237,8.227632649866937
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260623,test,13641,271,1.078014753655022,2.463001679675351,1.4042807448072907,0.9765367249642879,1.0032477383948817,0.07476701526014029,7.452497762891716
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260715,test,13641,271,1.077970425256422,2.4685551254851226,1.4042651419857533,0.9764307981786402,1.0009857405928273,0.07698468466359465,7.690887246605628
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260718,test,13641,271,1.089282356655394,2.4719301292947495,1.4171001180063199,0.9763663065877627,0.9977285930774394,0.09155376357795453,9.176219285804162
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,42,test,13539,269,1.3022895804159922,2.752464571671648,1.7159224352673494,0.9706163415634185,1.178476248725019,0.12381333169097308,10.506222066412064
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,2025,test,13539,269,1.298572144753842,2.7500854529389716,1.713223956177641,0.970667115695417,1.1733298926467683,0.12524225210707374,10.674086878035245
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260623,test,13539,269,1.303936104342801,2.754132038665215,1.7208020278959926,0.9705807290274503,1.1734359243629475,0.13050017997985353,11.121202041832955
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260715,test,13539,269,1.316349663548829,2.7659433757606373,1.7340128504705856,0.9703278536947479,1.1768088351301655,0.13954082841866344,11.857561249803924
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260718,test,13539,269,1.2943860887709246,2.7494138978297165,1.70416165160906,0.9706814397908041,1.173111668990652,0.12127441978027265,10.337841058611023
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,42,test,13387,266,1.5786079147428913,3.10174679890245,2.0540200565688886,0.9626301916773966,1.2211762180918702,0.35743169665102115,29.26946097996573
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,2025,test,13387,266,1.58463202395028,3.1193076879450192,2.0526902222612367,0.9622058470686987,1.2105098615797245,0.3741221623705555,30.906163943375336
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260623,test,13387,266,1.5766953914159145,3.119270675925801,2.048305210788187,0.962206743953364,1.2210236967858117,0.35567169463010284,29.128975593705754
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260715,test,13387,266,1.5533136048410399,3.0490052292631695,2.012486861447161,0.963890246538239,1.2172144128169635,0.33609919202407634,27.612160066873663
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260718,test,13387,266,1.5592632559754485,3.0738281439144512,2.01781501103486,0.9632998913291848,1.212974663518796,0.34628859245665256,28.548707806647982
