variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,2025,test,13539,269,1.2938280728412912,2.741061020831951,1.7063842704672136,0.9708593121190638
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260623,test,13539,269,1.2917749672152985,2.745192370093846,1.7062933162617742,0.9707714037615977
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260715,test,13539,269,1.2949217002548012,2.7512103703037245,1.7106314614286844,0.9706431136633545
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260718,test,13539,269,1.2762710224353255,2.7307786263639993,1.6887273679572847,0.9710775298393612
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,42,test,13387,266,1.5306253849594798,3.020614409460464,1.9888801788525863,0.9645595877943125
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,2025,test,13387,266,1.520411227131201,3.0022504973007926,1.978463703193446,0.9649891999031139
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260623,test,13387,266,1.5589283664751148,3.050522327211561,2.015171795613662,0.9638543032336125
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260715,test,13387,266,1.5083136593890927,2.975271641451245,1.9637856203714963,0.9656156015715681
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260718,test,13387,266,1.545359430740306,3.056318706856979,2.007377334030919,0.9637168099060568
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,42,test,13641,271,1.0662235756573857,2.483166591801851,1.3929158036141844,0.9761509585303247
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,2025,test,13641,271,1.0529188376072172,2.4714160685351314,1.3779595723692522,0.9763761352564451
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260623,test,13641,271,1.0707413246213138,2.4873388701954138,1.3954052088784248,0.9760707476930686
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260715,test,13641,271,1.0508651621538683,2.466133966229542,1.3746375480811055,0.9764770088595114
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260718,test,13641,271,1.0682973023445304,2.4849843814474455,1.3939683573227417,0.9761160286075486
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,42,test,13539,269,1.245481502462426,2.7556724661405214,1.6609337985702688,0.9705478105425965
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,2025,test,13539,269,1.2954065320762804,2.800336133765131,1.7193837775323688,0.9695853572027
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260623,test,13539,269,1.267363507128315,2.7719339919078867,1.6848350448140819,0.9701991837190785
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260715,test,13539,269,1.2798807551537552,2.780865968488614,1.7014222847411105,0.9700068205179053
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260718,test,13539,269,1.2671502881198384,2.7721161614965797,1.6881166103765204,0.9701952666122146
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,42,test,13387,266,1.3178650901777145,2.8893335383662375,1.7714197824744864,0.9675732411094752
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,2025,test,13387,266,1.3161606407721191,2.868124550769038,1.7654398969367164,0.9680475474258838
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260623,test,13387,266,1.324094068318682,2.866069462282708,1.7813179540211235,0.9680933206068044
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260715,test,13387,266,1.3149855279384635,2.861550679313905,1.7657757868702106,0.9681938525033773
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260718,test,13387,266,1.32058280129282,2.874066198560061,1.7722894946957872,0.9679150239847962
P5_particulate_context,P5_particulate_context_xgboost,1,42,test,13641,271,1.0496821520373556,2.459892198605945,1.372301580631326,0.9765959312213492
P5_particulate_context,P5_particulate_context_xgboost,1,2025,test,13641,271,1.0406647855129783,2.467384111179268,1.3652005723538942,0.9764531540303829
P5_particulate_context,P5_particulate_context_xgboost,1,20260623,test,13641,271,1.037803046102034,2.4526076359358293,1.361329283214228,0.9767343405136627
P5_particulate_context,P5_particulate_context_xgboost,1,20260715,test,13641,271,1.0501257711924656,2.471176728681294,1.374363388590147,0.9763807106564554
P5_particulate_context,P5_particulate_context_xgboost,1,20260718,test,13641,271,1.0404301476537419,2.4536207450829797,1.3614765067414933,0.9767151156524906
P5_particulate_context,P5_particulate_context_xgboost,3,42,test,13539,269,1.2614858813513228,2.706473309973874,1.6707500019503247,0.9715900879700354
P5_particulate_context,P5_particulate_context_xgboost,3,2025,test,13539,269,1.287376509974332,2.7260723661354276,1.6993848276503885,0.9711771346751944
P5_particulate_context,P5_particulate_context_xgboost,3,20260623,test,13539,269,1.2535086764599475,2.7045754498725922,1.6647769124889376,0.9716299177617076
P5_particulate_context,P5_particulate_context_xgboost,3,20260715,test,13539,269,1.2645765177634256,2.706034482092186,1.6749797849207837,0.97159929999571
P5_particulate_context,P5_particulate_context_xgboost,3,20260718,test,13539,269,1.2620007220682736,2.7076727718059344,1.6699285346902877,0.9715649008336351
P5_particulate_context,P5_particulate_context_xgboost,6,42,test,13387,266,1.5210321088387067,3.006733490492973,1.9772529443415197,0.9648845648230449
