panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(b)  3-h forecast,3,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1509.0,1509.0,1.122960942603116,1.079582066385325,-0.04337887621779091,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,1509.0,1509.0,1.122960942603116,1.0707105406973307,-0.052250401905785226,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,571.0,571.0,1.052340807806172,1.0993815674255694,0.047040759619397354,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,571.0,571.0,1.052340807806172,1.1190085692219198,0.06666776141574782,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,571.0,571.0,1.052340807806172,1.158525370048349,0.1061845622421771,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,1437.0,1437.0,1.937271969944992,1.867281911766355,-0.06999005817863702,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1437.0,1437.0,1.937271969944992,1.877426993366296,-0.05984497657869614,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,1437.0,1437.0,1.937271969944992,1.94796844808056,0.010696478135567844,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,0,E3_meteorology,Meteorology,725.0,725.0,1.1041262708642017,1.096874699735093,-0.007251571129108569,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,725.0,725.0,1.1041262708642017,1.0622838836319146,-0.04184238723228706,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,725.0,725.0,1.1041262708642017,1.0704686602011495,-0.03365761066305217,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,382.0,382.0,0.9110532990300844,0.9906366977392066,0.07958339870912223,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,382.0,382.0,0.9110532990300844,1.0098772178769737,0.09882391884688935,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,382.0,382.0,0.9110532990300844,1.0786739402624534,0.16762064123236908,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
