variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,2025,test,13539,269,1.3108426354844023,2.763516883105218,1.7387817106407473,0.970379892116175,1.1733298926467683,0.13751274283763393,11.71987040468526
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260623,test,13539,269,1.3112382489592362,2.771317462938181,1.7443782046497838,0.9702124387412819,1.1734359243629475,0.13780232459628872,11.743489502513818
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260715,test,13539,269,1.321723988065751,2.7812554114055117,1.75490173022557,0.9699984192146159,1.1768088351301655,0.14491515293558543,12.31424753193296
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260718,test,13539,269,1.3091099538910402,2.7746313333793613,1.7435738739101294,0.9701411577431266,1.173111668990652,0.13599828490038823,11.59295304064288
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,42,test,13387,266,1.4191810045408295,2.911425635896328,1.87207844453735,0.9670754696726163,1.2211762180918702,0.19800478644895936,16.214268138823456
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,2025,test,13387,266,1.41162733176455,2.909234328979142,1.8643744282729486,0.967125012823492,1.2105098615797245,0.2011174701848255,16.614277716198504
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260623,test,13387,266,1.3974493648553463,2.8582560889279134,1.8464211843778517,0.9682670491135769,1.2210236967858117,0.17642566806953464,14.448996242575193
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260715,test,13387,266,1.4361584968554546,2.9279627696123636,1.8982859256235414,0.9667003794133214,1.2172144128169635,0.21894408403849108,17.987306240631444
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260718,test,13387,266,1.4015204863162283,2.8908986926371507,1.855759110986159,0.9675381003921208,1.212974663518796,0.18854582279743237,15.54408583032293
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,42,test,13641,271,1.1450588024691153,2.531709918287181,1.4842810992021755,0.9752093963800659,0.9980668375849404,0.14699196488417487,14.727667461615779
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,2025,test,13641,271,1.126539935762254,2.514020617829723,1.4602861774598512,0.975554614773879,0.9971901876580412,0.12934974810421285,12.971422072252656
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260623,test,13641,271,1.1549219064400482,2.539752961919341,1.493725080008381,0.9750516305702027,1.0032477383948817,0.15167416804516654,15.118316467658666
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260715,test,13641,271,1.1604604198824109,2.5433990680805585,1.501021154692842,0.9749799466704194,1.0009857405928273,0.1594746792895836,15.931763343115732
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260718,test,13641,271,1.1442653495766761,2.5327079566372155,1.4811289947231039,0.9751898468654991,0.9977285930774394,0.1465367564992367,14.687035884904537
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,42,test,13539,269,1.3114453121769196,2.766396668670712,1.74013278613474,0.9703181273382386,1.178476248725019,0.13296906345190052,11.283134776433409
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,2025,test,13539,269,1.315185841216316,2.765180340097157,1.7453512660595343,0.9703442226364183,1.1733298926467683,0.14185594856954764,12.090031069570086
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260623,test,13539,269,1.3241640555980998,2.78213264944558,1.762376677145219,0.9699794905837585,1.1734359243629475,0.15072813123515227,12.845024436846163
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260715,test,13539,269,1.3347999828776378,2.795709400965134,1.7714103407923703,0.9696857767017404,1.1768088351301655,0.15799114774747225,13.425387627209396
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260718,test,13539,269,1.3108045769644108,2.770452405882892,1.741513827451022,0.9702310320050889,1.173111668990652,0.13769290797375877,11.737408433779375
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,42,test,13387,266,1.4314006756502586,2.9152494489122813,1.8868433833120941,0.9669889279305746,1.2211762180918702,0.21022445755838848,17.214915787245793
