experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E3_meteorology,E3_meteorology_aware_xgboost,3,2025,test,13539,269,1.235416692531886,2.729536407115517,1.6527603255619097,0.9711038372646824
E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,test,13539,269,1.231875852943655,2.731230330727912,1.6536262512534994,0.9710679607835856
E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,test,13539,269,1.2333962991958054,2.7321222339725915,1.6539295827250284,0.971049061760168
E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,test,13539,269,1.2351037154096849,2.7325189503599394,1.6583362236296428,0.9710406535379112
E3_meteorology,E3_meteorology_aware_xgboost,6,42,test,13387,266,1.3362087636820208,2.8415009435016727,1.7777038854154357,0.968637996853688
E3_meteorology,E3_meteorology_aware_xgboost,6,2025,test,13387,266,1.3224251230198598,2.8238260875879635,1.762004908209431,0.9690269426226972
E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,test,13387,266,1.3279213709641386,2.8140383160553677,1.7673519969320457,0.969241284304864
E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,test,13387,266,1.33461914738794,2.825584371259629,1.7759368450426347,0.9689883592438268
E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,test,13387,266,1.3420197178342037,2.839754810461213,1.786706156222834,0.9686765295904396
E4_atmospheric,E4_atmospheric_context_xgboost,1,42,test,13641,271,1.1853499332253945,2.510315509538512,1.5182337594227706,0.9756266158201244
E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,test,13641,271,1.2004923162736945,2.526035504573472,1.5311414130629746,0.9753204000091455
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,test,13641,271,1.1926195764402967,2.510959341230875,1.5237796155985015,0.9756141119181492
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,test,13641,271,1.178281963788277,2.502382111462189,1.509181570553621,0.9757804277316876
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,test,13641,271,1.1753589454041056,2.498489704996223,1.5081947563340363,0.9758557152745576
E4_atmospheric,E4_atmospheric_context_xgboost,3,42,test,13539,269,1.3920374548839942,2.797264207825447,1.8124757234767397,0.9696520493990752
E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,test,13539,269,1.3990140889418057,2.818692102349207,1.8167996991684223,0.96918531951169
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,test,13539,269,1.3786478777939275,2.8137463453673752,1.7949152457806907,0.9692933612638756
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,test,13539,269,1.3865844955536375,2.791414178931182,1.804027720922516,0.9697788523967886
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,test,13539,269,1.3801841662958905,2.7777957732122243,1.7943535372184534,0.9700730114714886
E4_atmospheric,E4_atmospheric_context_xgboost,6,42,test,13387,266,1.4559295383019382,2.8831174536067348,1.8983452456386392,0.9677126162656364
E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,test,13387,266,1.4558557020015312,2.8869735909901264,1.910449062446536,0.9676261904774524
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,test,13387,266,1.4402697403145213,2.8748284863110136,1.886926559953708,0.967898001949806
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,test,13387,266,1.4542447431216734,2.85924170313135,1.8886100181787064,0.9682451603543644
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,test,13387,266,1.4369990744832617,2.873091407591325,1.8819108366658803,0.9679367846811472
E5_full_fusion,E5_full_fusion_xgboost,1,42,test,13641,271,1.194628900955305,2.5220984551509966,1.5324932214864586,0.975397270729886
E5_full_fusion,E5_full_fusion_xgboost,1,2025,test,13641,271,1.15633951218874,2.522764701672654,1.493140836951245,0.9753842707236552
E5_full_fusion,E5_full_fusion_xgboost,1,20260623,test,13641,271,1.1619693847735295,2.5159451293072603,1.4984414794193446,0.9755171740058826
E5_full_fusion,E5_full_fusion_xgboost,1,20260715,test,13641,271,1.1645033523040913,2.509588898315424,1.502962024168777,0.9756407235379352
E5_full_fusion,E5_full_fusion_xgboost,1,20260718,test,13641,271,1.1637247967632058,2.506606077970266,1.4984185668460483,0.9756985945024896
E5_full_fusion,E5_full_fusion_xgboost,3,42,test,13539,269,1.4073290782931942,2.83499581438471,1.838524452940657,0.9688278156647008
E5_full_fusion,E5_full_fusion_xgboost,3,2025,test,13539,269,1.421765662269208,2.82419610584582,1.850543396177472,0.9690648596003124
E5_full_fusion,E5_full_fusion_xgboost,3,20260623,test,13539,269,1.4244715538206163,2.8318090911231018,1.854768061620273,0.9688978554818144
E5_full_fusion,E5_full_fusion_xgboost,3,20260715,test,13539,269,1.394429552088719,2.817599728379695,1.8242576250043965,0.9692091991203826
E5_full_fusion,E5_full_fusion_xgboost,3,20260718,test,13539,269,1.3932205844477834,2.828577101282985,1.820175836599968,0.9689688097363306
E5_full_fusion,E5_full_fusion_xgboost,6,42,test,13387,266,1.4872926561722186,2.870572049903663,1.931181429916549,0.9679929912405044
E5_full_fusion,E5_full_fusion_xgboost,6,2025,test,13387,266,1.4755648972138546,2.870536607079601,1.9231854461300903,0.9679937816138218
E5_full_fusion,E5_full_fusion_xgboost,6,20260623,test,13387,266,1.5095473863033626,2.904156898636104,1.957789464621352,0.9672396648432584
E5_full_fusion,E5_full_fusion_xgboost,6,20260715,test,13387,266,1.5238901376670817,2.911441777256099,1.9693790997264036,0.967075104595002
E5_full_fusion,E5_full_fusion_xgboost,6,20260718,test,13387,266,1.5038806275368473,2.885937390156613,1.9512725553714407,0.9676494257078296
