model,horizon,seed,scenario,feature_group,repetition,sample_count,encoded_columns_permuted,baseline_MAE,permuted_MAE,delta_MAE,importance_convention
E5_full_fusion_xgboost,1,42,Overall_test,Road,10,13641,16,1.194628900955305,1.3941100217559466,0.1994811208006415,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,1,8149,60,1.1130980492223332,14.124593890733884,13.01149584151155,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,2,8149,60,1.1130980492223332,14.073640883735935,12.960542834513602,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,3,8149,60,1.1130980492223332,14.140148652431282,13.027050603208949,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,4,8149,60,1.1130980492223332,14.190868940551175,13.077770891328841,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,5,8149,60,1.1130980492223332,14.215261509735734,13.1021634605134,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,6,8149,60,1.1130980492223332,14.207762860594515,13.094664811372182,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,7,8149,60,1.1130980492223332,14.06597550431512,12.952877455092786,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,8,8149,60,1.1130980492223332,14.025895234096774,12.91279718487444,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,9,8149,60,1.1130980492223332,14.135466032847015,13.022367983624681,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Traffic,10,8149,60,1.1130980492223332,13.986678826455403,12.87358077723307,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,1,8149,8,1.1130980492223332,1.2008088902724556,0.08771084105012239,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,2,8149,8,1.1130980492223332,1.2086266102613143,0.09552856103898111,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,3,8149,8,1.1130980492223332,1.2005344906267554,0.0874364414044222,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,4,8149,8,1.1130980492223332,1.2091557805658228,0.0960577313434896,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,5,8149,8,1.1130980492223332,1.1987813375593719,0.08568328833703864,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,6,8149,8,1.1130980492223332,1.2039447156052827,0.09084666638294947,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,7,8149,8,1.1130980492223332,1.2062311017772203,0.09313305255488702,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,8,8149,8,1.1130980492223332,1.201004738237549,0.08790668901521581,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,9,8149,8,1.1130980492223332,1.2007313149309002,0.087633265708567,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Reliability,10,8149,8,1.1130980492223332,1.1960511271907843,0.08295307796845108,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,1,8149,9,1.1130980492223332,1.555905547083319,0.4428074978609857,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,2,8149,9,1.1130980492223332,1.5449146538983825,0.4318166046760492,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,3,8149,9,1.1130980492223332,1.53259453474878,0.4194964855264467,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,4,8149,9,1.1130980492223332,1.56565755910511,0.4525595098827768,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,5,8149,9,1.1130980492223332,1.5534612654313311,0.4403632162089979,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,6,8149,9,1.1130980492223332,1.5367056170304518,0.4236075678081186,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,7,8149,9,1.1130980492223332,1.538695235733567,0.4255971865112338,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,8,8149,9,1.1130980492223332,1.540035208886487,0.4269371596641538,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,9,8149,9,1.1130980492223332,1.5662558991538336,0.4531578499315003,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Calendar,10,8149,9,1.1130980492223332,1.552046809420974,0.4389487601986408,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,1,8149,15,1.1130980492223332,1.1063468921870627,-0.006751157035270516,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,2,8149,15,1.1130980492223332,1.110393716753853,-0.0027043324684803416,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,3,8149,15,1.1130980492223332,1.1070561171387459,-0.006041932083587387,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,4,8149,15,1.1130980492223332,1.114095090874749,0.0009970416524156533,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,5,8149,15,1.1130980492223332,1.1151608222939269,0.0020627730715936377,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,6,8149,15,1.1130980492223332,1.1081074803798199,-0.004990568842513365,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,7,8149,15,1.1130980492223332,1.1140506897771578,0.0009526405548245798,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,8,8149,15,1.1130980492223332,1.1059529467916744,-0.007145102430658801,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,9,8149,15,1.1130980492223332,1.1194350647342157,0.006337015511882482,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Rainfall,10,8149,15,1.1130980492223332,1.1129903686213853,-0.00010768060094790144,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,1,8149,15,1.1130980492223332,1.1529397790415494,0.03984172981921619,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,2,8149,15,1.1130980492223332,1.1531899001918533,0.04009185096952006,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,3,8149,15,1.1130980492223332,1.1540763719538194,0.04097832273148616,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,4,8149,15,1.1130980492223332,1.1510445183194449,0.037946469097111635,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,5,8149,15,1.1130980492223332,1.1563237370199118,0.043225687797578516,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,6,8149,15,1.1130980492223332,1.1523754237682857,0.03927737454595248,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,7,8149,15,1.1130980492223332,1.1584244732808575,0.04532642405852427,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,8,8149,15,1.1130980492223332,1.152317471640161,0.03921942241782772,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,9,8149,15,1.1130980492223332,1.1521402191500403,0.03904216992770704,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Meteorology,10,8149,15,1.1130980492223332,1.151913934903393,0.03881588568105987,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,1,8149,28,1.1130980492223332,1.1815540585697524,0.06845600934741913,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,2,8149,28,1.1130980492223332,1.1826470012464285,0.06954895202409528,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,3,8149,28,1.1130980492223332,1.1923065291965804,0.07920847997424718,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,4,8149,28,1.1130980492223332,1.1836822094700596,0.0705841602477264,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,5,8149,28,1.1130980492223332,1.1765015496980216,0.06340350047568832,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,6,8149,28,1.1130980492223332,1.1832571026464276,0.07015905342409434,positive delta means the group was useful
