scenario,reliability_group,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S1_dry,Low,E1_traffic_only,E1_traffic_only_xgboost,1,5,2092.0,1.760079080497785,0.010579492922267788,3.304009574371662,0.030192038063253875,2.509115871589243,0.010937110127267398,0.9735544704948952,0.00048331175325869435
S1_dry,Low,E1_traffic_only,E1_traffic_only_xgboost,3,5,2040.0,1.6205994053759603,0.006337359833655485,3.2287386053946365,0.02263204450471184,2.531895226660687,0.010441902224061257,0.9744388076345741,0.00035823106972256803
S1_dry,Low,E1_traffic_only,E1_traffic_only_xgboost,6,5,1995.0,1.5405889872182084,0.012209323087108781,2.9677432502407255,0.017313627163478236,2.5079591791482416,0.020171864212477353,0.9791864625434947,0.00024327477216883297
S1_dry,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2092.0,1.8116148447215443,0.01085011438133992,3.444739537044483,0.0027961827608822165,2.564219248391573,0.01509259482151198,0.9712555720439549,4.667438945256782e-05
S1_dry,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2040.0,1.6567971037571727,0.006424361484142969,3.1942800892379184,0.006236550119619323,2.549299196598545,0.01271369318906735,0.9749824038046068,9.779159300545328e-05
S1_dry,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,5,1995.0,1.6098997424897696,0.007935814153474432,3.112010307289593,0.013324413402618548,2.580354899586746,0.012287652002342013,0.9771140025586948,0.00019612477482541208
S1_dry,Low,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2092.0,1.903151417690299,0.005896094965972363,3.462803504944591,0.013299164028285947,2.673774379819647,0.004105539182108116,0.9709529867155726,0.00022326739331011188
S1_dry,Low,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2040.0,1.7198241449243885,0.012011510483260804,3.216701079148103,0.007953549505269707,2.5575211878927333,0.015128795441404105,0.9746299222162766,0.000125531544359703
S1_dry,Low,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,1995.0,1.7238741241939486,0.024151680486157696,3.1884592803416054,0.028449930592904446,2.733434621740037,0.05550480819428423,0.9759745886072355,0.00042893902894439417
S1_dry,Low,E5_full_fusion,E5_full_fusion_xgboost,1,5,2092.0,1.8532636358481143,0.006901138364833499,3.487764006423486,0.014497635530002294,2.6272338351633797,0.014170722238572445,0.9705326658554447,0.0002448974612187533
S1_dry,Low,E5_full_fusion,E5_full_fusion_xgboost,3,5,2040.0,1.7189136530807594,0.017864680437902996,3.253866542633093,0.008518395225853096,2.58665798075918,0.02662377527152941,0.9740402731156494,0.00013587260506927766
S1_dry,Low,E5_full_fusion,E5_full_fusion_xgboost,6,5,1995.0,1.7045185404612606,0.01979074615118734,3.1764989293259887,0.0222007249025146,2.715336172356945,0.016492719771966605,0.9761550827435554,0.0003331361230889661
S2_rain,High,E1_traffic_only,E1_traffic_only_xgboost,1,5,3650.0,0.5809333059232529,0.0014816487591981355,1.6664655986827923,0.004650630246631446,0.6445777084878938,0.0014801417639492794,0.9522124991487029,0.00026681791373565965
S2_rain,High,E1_traffic_only,E1_traffic_only_xgboost,3,5,3639.0,0.8996585566754896,0.003801491929866656,2.291400361630794,0.009142444136188685,0.9979629765076888,0.004240181311927952,0.9186851662421084,0.0006492448507420548
S2_rain,High,E1_traffic_only,E1_traffic_only_xgboost,6,5,3558.0,0.9064147677608302,0.003530196813524515,2.059040281170705,0.0073652941237585135,0.9914279161512963,0.003823695953332936,0.9347454623800715,0.0004666674493768333
S2_rain,High,E3_meteorology,E3_meteorology_aware_xgboost,1,5,3650.0,0.6236028484187713,0.003520783032410111,1.6582781170082943,0.005334876888267241,0.6880928950022244,0.0035986665540417334,0.9526808164546999,0.00030463866396310263
