MAE_mean,MAE_std,MPIW_mean,MPIW_std,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Pinball_Loss_mean,Pinball_Loss_std,R2_mean,R2_std,RMSE_mean,RMSE_std,delta_MAE,experiment,horizon,item,median_MAE_mean,median_MAE_std,model,relative_change_percent,sMAPE_mean,sMAPE_std,sample_count_per_seed,section,seed_count,split,variant
1.1769190621436498,0.003971535333057,,,,,,,,,0.9714313888130972,0.0001234907777505,2.7140169541625894,0.0058678854210298,,,3,M1_temperature,,,M1_temperature_xgboost,,1.5975154266227574,0.0062248526818197,13539.0,meteorology_ablation,5.0,test,M1_temperature
1.260527338784178,0.0061509509240134,,,,,,,,,0.969779717705026,0.0003360242944678,2.789265220214248,0.0154855460849179,,,6,M1_temperature,,,M1_temperature_xgboost,,1.7000528292205206,0.008262054591692,13387.0,meteorology_ablation,5.0,test,M1_temperature
1.0364549639534777,0.0035292438872709,,,,,,,,,0.97646899752008,6.626880389738344e-05,2.466551927483544,0.0034717263640467,,,1,M2_humidity_dew_point,,,M2_humidity_dew_point_xgboost,,1.35919096605384,0.0043757729230612,13641.0,meteorology_ablation,5.0,test,M2_humidity_dew_point
1.2064681721623522,0.0027445936630743,,,,,,,,,0.9714837851090318,0.00013670489585,2.7115258401720195,0.0064927700390342,,,3,M2_humidity_dew_point,,,M2_humidity_dew_point_xgboost,,1.626704564959752,0.0026624359456522,13539.0,meteorology_ablation,5.0,test,M2_humidity_dew_point
1.2960685661781155,0.0052172561870759,,,,,,,,,0.9693261559124484,0.0002631575356766,2.81013263164197,0.0120465672175553,,,6,M2_humidity_dew_point,,,M2_humidity_dew_point_xgboost,,1.741659034346069,0.0069998945070908,13387.0,meteorology_ablation,5.0,test,M2_humidity_dew_point
1.0214820359416965,0.0052503610732398,,,,,,,,,0.9765850255322096,0.000144585350805,2.460455865587526,0.0075996537567549,,,1,M3_wind,,,M3_wind_xgboost,,1.346201326148996,0.00720114367124,13641.0,meteorology_ablation,5.0,test,M3_wind
1.232042910687184,0.0046141513379908,,,,,,,,,0.9706795706787216,0.0001689831153454,2.749492417549869,0.0079171648198377,,,3,M3_wind,,,M3_wind_xgboost,,1.6574519642827212,0.0075304378529479,13539.0,meteorology_ablation,5.0,test,M3_wind
1.295166208672751,0.0066281169114186,,,,,,,,,0.9695786681071812,0.0001875941901891,2.7985519134485157,0.0086304884414637,,,6,M3_wind,,,M3_wind_xgboost,,1.738117722511061,0.0091140558987198,13387.0,meteorology_ablation,5.0,test,M3_wind
0.9917878121637348,0.0040150078574189,,,,,,,,,0.9765167204422056,0.0001293237906912,2.464043928362448,0.0067931600560844,,,1,M4_pressure,,,M4_pressure_xgboost,,1.3119858764480623,0.0045335522909794,13641.0,meteorology_ablation,5.0,test,M4_pressure
1.169640580442698,0.0030488779281532,,,,,,,,,0.971479434203622,0.0001270413640143,2.71173352392815,0.006042212078085,,,3,M4_pressure,,,M4_pressure_xgboost,,1.5897730471511662,0.0042052369612899,13539.0,meteorology_ablation,5.0,test,M4_pressure
1.2243633361734338,0.0047211026088592,,,,,,,,,0.970316246627858,0.0001516182544669,2.7644209913487114,0.0070591823925243,,,6,M4_pressure,,,M4_pressure_xgboost,,1.6609283105320671,0.0068825314014647,13387.0,meteorology_ablation,5.0,test,M4_pressure
1.0199223503032813,0.0043722291800033,,,,,,,,,0.9766811425385392,9.254235801011555e-05,2.4554061692494384,0.0048704888156835,,,1,M5_cloud_boundary_layer_radiation,,,M5_cloud_boundary_layer_radiation_xgboost,,1.3415035520695684,0.0053487998593647,13641.0,meteorology_ablation,5.0,test,M5_cloud_boundary_layer_radiation
1.2000637967915762,0.0055038715888788,,,,,,,,,0.9714272831322804,0.0001754464727825,2.714206808922065,0.0083328694505899,,,3,M5_cloud_boundary_layer_radiation,,,M5_cloud_boundary_layer_radiation_xgboost,,1.6167963637752116,0.008685169059708,13539.0,meteorology_ablation,5.0,test,M5_cloud_boundary_layer_radiation
