variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent,full_fusion_MAE,delta_MAE_vs_full
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260623,test,13539,269,1.3661442055338158,2.798908189410313,1.785184546677188,0.9696163672975004,1.1734359243629475,0.19270828117086825,16.42256532034236,1.4244715538206165,-0.05832734828680075
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260715,test,13539,269,1.4157875407595288,2.8222073473661884,1.836716858459229,0.9691084124265636,1.1768088351301655,0.2389787056293633,20.30735141472065,1.3944295520887193,0.021357988670809513
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260718,test,13539,269,1.3869807847925544,2.8069938200395868,1.8123238209454557,0.9694405661151424,1.173111668990652,0.21386911580190238,18.230925619034704,1.3932205844477834,-0.006239799655229028
A1_without_rainfall,A1_without_rainfall_xgboost,6,42,test,13387,266,1.4513736453860977,2.8649825904337414,1.9012029645352682,0.9681175153422718,1.2211762180918702,0.23019742729422754,18.850467597044997,1.4872926561722186,-0.03591901078612092
A1_without_rainfall,A1_without_rainfall_xgboost,6,2025,test,13387,266,1.4290533398101328,2.846440104948058,1.8667938217720539,0.9685288738042939,1.2105098615797245,0.21854347823040832,18.053837078634572,1.4755648972138546,-0.046511557403721815
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260623,test,13387,266,1.459762167902701,2.8793090785284945,1.9166947293951464,0.9677978582008541,1.2210236967858117,0.2387384711168894,19.55232087185022,1.5095473863033626,-0.049785218400661524
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260715,test,13387,266,1.5074689640614982,2.905952998708156,1.9550857928747987,0.9671991305073434,1.2172144128169635,0.2902545512445347,23.84580302272359,1.5238901376670817,-0.016421173605583483
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260718,test,13387,266,1.4116738089319272,2.8466090883228925,1.8471540082243605,0.968525137027986,1.212974663518796,0.19869914541313127,16.38114557452603,1.5038806275368473,-0.09220681860492008
A2_without_meteorology,A2_without_meteorology_xgboost,1,42,test,13641,271,1.1766010313227715,2.507145721398438,1.5102884331633475,0.9756881297505337,0.9980668375849404,0.17853419373783108,17.88799978264351,1.194628900955305,-0.018027869632533555
A2_without_meteorology,A2_without_meteorology_xgboost,1,2025,test,13641,271,1.2041115102811522,2.530946741248075,1.5435287310535264,0.9752243402468161,0.9971901876580412,0.20692132262311091,20.750437096566063,1.1563395121887399,0.04777199809241228
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260623,test,13641,271,1.2025286098957773,2.5182032379564347,1.5389048021615674,0.9754732066791663,1.0032477383948817,0.19928087150089557,19.863575453429824,1.1619693847735297,0.04055922512224752
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260715,test,13641,271,1.1811544513369143,2.5073595563439786,1.5177232118378208,0.9756839824454077,1.0009857405928273,0.18016871074408702,17.999128602709494,1.1645033523040913,0.016651099032823025
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260718,test,13641,271,1.175957799051624,2.511355114497912,1.5106201336900782,0.9756064239854559,0.9977285930774394,0.17822920597418446,17.863495865588675,1.1637247967632058,0.01223300228841806
A2_without_meteorology,A2_without_meteorology_xgboost,3,42,test,13539,269,1.4152085197732929,2.8183961613602717,1.8409115543110737,0.969191789780848,1.178476248725019,0.23673227104827377,20.087996792840915,1.4073290782931942,0.00787944148009867
A2_without_meteorology,A2_without_meteorology_xgboost,3,2025,test,13539,269,1.4334287512369024,2.8316472402325554,1.856763212094525,0.9689014106409165,1.1733298926467683,0.26009885859013404,22.16758136140293,1.421765662269208,0.011663088967694302
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260623,test,13539,269,1.376887703200171,2.796437354166518,1.793671016563221,0.9696699880730214,1.1734359243629475,0.20345177883722343,17.338124273609264,1.4244715538206165,-0.04758385062044557
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260715,test,13539,269,1.4035070771741576,2.8080220467305903,1.82631343049612,0.9694181736321658,1.1768088351301655,0.22669824204399203,19.263812037824916,1.3944295520887193,0.009077525085438243
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260718,test,13539,269,1.3804951493355073,2.814116101282392,1.8079494667296117,0.9692852903819095,1.173111668990652,0.20738348034485532,17.67806815213837,1.3932205844477834,-0.012725435112276084
A2_without_meteorology,A2_without_meteorology_xgboost,6,42,test,13387,266,1.4682994518345092,2.869749789090166,1.910039420328253,0.9680113251051545,1.2211762180918702,0.247123233742639,20.23649249645375,1.4872926561722186,-0.018993204337709457
A2_without_meteorology,A2_without_meteorology_xgboost,6,2025,test,13387,266,1.4611254247855991,2.8706493061195686,1.900299029088381,0.9679912683966874,1.2105098615797245,0.25061556320587464,20.703306198498826,1.4755648972138546,-0.014439472428255495
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260623,test,13387,266,1.4959285080591695,2.900109832004075,1.948599670195912,0.9673309070754623,1.2210236967858117,0.27490481127335786,22.514289607729115,1.5095473863033626,-0.013618878244193056
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260715,test,13387,266,1.4847715184655383,2.8849624407969188,1.9256485978139553,0.9676712798507703,1.2172144128169635,0.2675571056485748,21.981099043132037,1.5238901376670817,-0.03911861920154336
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260718,test,13387,266,1.4349524176389983,2.8577955983562333,1.8683782203386041,0.9682772732132516,1.212974663518796,0.22197775412020238,18.30027953562137,1.5038806275368473,-0.06892820989784898
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,42,test,13641,271,1.135464472039291,2.534533460015155,1.4754459107420026,0.9751540690803264,0.9980668375849404,0.1373976344543506,13.766376086276624,1.194628900955305,-0.059164428916014034
