scenario,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,1140.0,1.3225514401887595,0.007252351285246803,2.7917892250359406,0.019770851042842444,1.7241439996992263,0.010873432344568605,0.9605997281951592,0.0005562713656471674
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,3,5,1140.0,1.277384160805864,0.01930450568726898,2.784699029877786,0.012299834932535447,1.6725666228495353,0.021226398816631988,0.96080056156527,0.0003461183898438713
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,3,5,2390.0,1.08543653618508,0.004525717917303531,2.3179845642798584,0.005570561469754821,1.697247965651457,0.006806739495144839,0.9839782828324669,7.699791820456091e-05
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2390.0,1.0830320235376079,0.006880469768607799,2.2827821986651875,0.008606428664101884,1.671802620362892,0.014773244273234015,0.9844611144510281,0.00011712089913401814
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2390.0,1.1387559663354936,0.029394242280887536,2.2952855089454283,0.020720229932547286,1.7060823535418692,0.02988242399812362,0.98428958284089,0.0002849369239623084
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,3,5,2390.0,1.1626802988305085,0.03486055503441474,2.351375999995901,0.01857784027238551,1.7604722072340657,0.035531565678002586,0.9835126132737445,0.0002609559247717522
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,3,5,3517.0,1.4442122503430137,0.008119327653155753,3.2374549669184263,0.013931744725585544,2.014502601399904,0.008865740260356187,0.9645171051812683,0.00030591504175549834
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,3,5,3517.0,1.4174094423480808,0.007504710171750948,3.1467265394279,0.006515006738417069,1.9653723941848757,0.008119299575992814,0.9664784082163829,0.00013883817600586368
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,3517.0,1.4119720843527264,0.018119732679430775,3.107084573489908,0.01541175437981788,1.9404384261343925,0.017941908667635332,0.967317156428064,0.0003241012051170528
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,3,5,3517.0,1.4434037111463303,0.011489425568981635,3.114837677752532,0.015625802280057895,1.9877993732942136,0.014735141755176425,0.967153831231945,0.00032986295751686484
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,3,5,1974.0,1.477205012384922,0.014422723878066642,3.3106783782543507,0.025426123181685963,2.1334983839452404,0.018133358584234618,0.9665854838596492,0.0005136344033661776
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,3,5,1974.0,1.459443936127338,0.004913141086495158,3.245092943707572,0.0060069018248388095,2.111889026545639,0.007120185141157562,0.9678976984406876,0.00011884529467814543
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,1974.0,1.4567216080211782,0.021266170978440965,3.204542851048135,0.022028693782188403,2.0882281723366045,0.023739938121281563,0.96869387725017,0.0004302174050037273
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,3,5,1974.0,1.5166854474480915,0.016075833289793093,3.20874708371759,0.02084426916270897,2.164559825253773,0.02103213851059246,0.9686118055383999,0.0004084746246893063
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,5,5123.0,1.0895982084436249,0.0042864142325566455,2.634861831058483,0.007879743107859109,1.5555022838968868,0.006966420210641608,0.9746756606406313,0.00015153936461507851
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,5,5123.0,1.1888106006148487,0.0075255160884022424,2.7082683371993377,0.012916840014692416,1.6610908482397622,0.01007831893584055,0.9732446514714168,0.0002547490534454008
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,5123.0,1.3459445992834094,0.03183021110326408,2.8074124466941464,0.023568169731524393,1.8395865083943128,0.03852851404934714,0.9712487817125435,0.00048458794123492667
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,5,5123.0,1.3005081891098285,0.026106706690928003,2.7463678934481743,0.019212672318634258,1.7910076475852221,0.024325487838762313,0.9724859986420101,0.0003853205524090185
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,5,8264.0,1.2952978904418848,0.0063630332405202735,2.8235662139618625,0.020949665742921966,1.7116635402643534,0.010928345462487546,0.9677196745575272,0.0004786655356908809
S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,5,8264.0,1.4218004885855395,0.009102199642475233,2.9012224457006184,0.012632346123466556,1.8438984168311883,0.01068816010182806,0.9659206368991203,0.0002969557303335769
S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,8264.0,1.5123347071918147,0.014112112019933292,2.9167918353358715,0.01154519751035247,1.9265142674666191,0.01237369821310364,0.9655539728179843,0.0002724476352428464
S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,5,8264.0,1.6237254331403492,0.016644444416006817,2.973236925278015,0.02038344640300947,2.0429922494293753,0.01777073965834313,0.964206992617765,0.0004904823452346296
S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,5,8235.0,1.386669042356051,0.0074445050660223,2.9384023048503822,0.021487205346131848,1.842966433950636,0.012446704779637526,0.9663976889202296,0.0004913966751806002
S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,5,8235.0,1.512987178176358,0.010141253878552471,3.016220717596648,0.013393356679378677,1.9755278483445053,0.012071347579223264,0.9645952814918758,0.00031457107297993945
S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,8235.0,1.5837905977052658,0.014143252081457924,3.0138572181715633,0.013585453874028415,2.037152165270528,0.013011563002547383,0.9646507287565147,0.00031820030291407456
S3_widespread_rain,E5_full_fusion,E5_full_fusion_xgboost,6,5,8235.0,1.692811181092161,0.016570615140083334,3.0645288469745253,0.02056180139289448,2.151000852034239,0.017975317989373005,0.963451367976052,0.0004902911686081466
S4_post_rain_1_3h,E1_traffic_only,E1_traffic_only_xgboost,6,5,2050.0,1.269397569361741,0.008724526910891522,3.073369322005466,0.01100063677192331,1.6792554293562223,0.010788044051743969,0.9601992593371061,0.0002844785708690292
S4_post_rain_1_3h,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2050.0,1.3655704131087638,0.014947999527407295,3.0258340847078924,0.008021902598316132,1.7730777915898457,0.016495310155534543,0.961421098045701,0.00020467457866149146
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2050.0,1.4957630101645867,0.023326286057279516,3.1545672856380054,0.01931289233893099,1.9303939701932784,0.02199668311403677,0.9580675911547869,0.0005127903796349084
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,6,5,2050.0,1.4659133583627095,0.012667056200834088,3.071847924047282,0.013541025638879439,1.8953151214573225,0.012480918065869024,0.9602384438285135,0.00035099686136374174
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,6,5,1098.0,0.7498814219768365,0.008176549807752653,2.0142398494153215,0.02047683816557414,1.0113860787590665,0.010155841458043718,0.9808988766261157,0.0003887932118072213
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,6,5,1098.0,0.805347419002234,0.00856803901347504,2.183889616407181,0.01658315915916249,1.0734718080977865,0.012305843708527036,0.9775466039820963,0.00034106754390405663
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,1098.0,1.0260022671206763,0.02482215152325881,2.3430458152861524,0.03553537958054556,1.312668233757666,0.029770994664479657,0.9741510975752334,0.0007894283971134407
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,6,5,1098.0,0.9425305670510659,0.014613152244053306,2.2955912843410147,0.013517478422536163,1.2113673056936878,0.017396130477791705,0.9751914250690344,0.00029311338636521083
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,6,5,2386.0,1.3115533005361886,0.017425879795513667,2.7045742202076286,0.060602784359353734,2.1460166014167283,0.029640247243242157,0.9802273983771747,0.0008849307269572972
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2386.0,1.3797777092233654,0.009458127896025435,2.806705422774408,0.02840537378047641,2.224558219506319,0.01613434897669932,0.9787126868390208,0.00043203693337036874
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2386.0,1.3742124611320827,0.05857188285239442,2.6568205284980317,0.05086961799195929,2.2130559658976976,0.0753263759155958,0.980921536972845,0.0007332961859196979
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,6,5,2386.0,1.357543664139787,0.04653285749284963,2.628928107370695,0.03699440689192749,2.1999869934054583,0.03936363234662855,0.9813225401686629,0.0005266123640581167
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,6,5,3492.0,1.4662214685551487,0.01596530549316192,3.2822973374493296,0.03933016349933055,2.063441009912691,0.02726481116990603,0.9639081295725525,0.0008647856524777335
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,6,5,3492.0,1.5577635049546843,0.0070305185500914,3.2550842517214873,0.014198336331134872,2.143651212874932,0.008640477636666956,0.9645076508892183,0.00030979249797816297
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,3492.0,1.4026692052158793,0.010925171626535743,3.151352056239417,0.017139754138095934,1.957181034428152,0.013422671844007033,0.9667334478987417,0.00036222018424330465
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,6,5,3492.0,1.4416104257357127,0.009708554203820711,3.072513107632603,0.020264470081428225,1.9973381632213467,0.01126619613843629,0.9683767669909038,0.0004182253955793898
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,6,5,2081.0,1.7760433946762562,0.02200194956504335,3.56221877481074,0.057340165450618985,2.5465387586692243,0.038279145292936086,0.961647746888404,0.001233928145392803
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2081.0,1.9211035486942643,0.012598466203485773,3.6004935256539254,0.0190517763828787,2.697567653566967,0.015090247997157937,0.9608263995314296,0.0004149129362671229
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2081.0,1.694960436255012,0.009772291460403594,3.4469994052124555,0.018341814714578002,2.431875361131601,0.010398577286684547,0.9640952466787518,0.0003827093971932099
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,6,5,2081.0,1.7567658542460134,0.016123473089836124,3.4025571872846023,0.012052342478704754,2.492786826149876,0.02136146108752961,0.9650155606266285,0.0002480301943516618
