scenario,experiment,model,horizon,seed,sample_count,unique_hours,unique_dates,independent_events,MAE,RMSE,sMAPE,R2
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,3548,106,9,11,1.27739408995504,2.805358238065283,1.7005763873873183,0.9732974268071057
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,3548,106,9,11,1.2628227115618202,2.795331943087852,1.6841223748594238,0.9734879546653954
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,3548,106,9,11,1.2856371085028235,2.787244709821431,1.714757841747005,0.9736411378605456
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,42,3548,106,9,11,1.2256275800599588,2.7848560372996998,1.6499269891837853,0.9736862976629264
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,2025,3548,106,9,11,1.1998867833403795,2.7964997249801185,1.6244270437820703,0.9734657986180234
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,3548,106,9,11,1.2263403416217518,2.7823756888631097,1.6499407006412288,0.9737331496971378
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,3548,106,9,11,1.2034840113235927,2.7699718068861463,1.6272887846380542,0.9739668238748187
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,3548,106,9,11,1.2351190731875747,2.7826011038501077,1.6562566211703922,0.9737288934914883
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,42,1917,95,12,16,0.8865738287819425,2.3298656291543405,1.3135785126161248,0.9827298748260695
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,2025,1917,95,12,16,0.8930058229406945,2.340892223523483,1.3250457062628116,0.9825660187737555
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,1917,95,12,16,0.8872201330867816,2.324632226109042,1.312958859400831,0.9828073728722357
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,1917,95,12,16,0.8946253665611654,2.3089264120558792,1.322391515192636,0.9830389037141418
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,1917,95,12,16,0.8718701388644791,2.3191012744340553,1.2919593568699137,0.9828890877034847
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,42,1917,95,12,16,0.8953120874210225,2.3724433679252197,1.3351504988536311,0.9820928923374367
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,1917,95,12,16,0.892582740180079,2.3551736219161747,1.3266345494483922,0.9823526461742468
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,1917,95,12,16,0.8856855512846866,2.3769073493567894,1.3270919375755799,0.9820254410323631
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,1917,95,12,16,0.9011232185396935,2.3555944908667956,1.3396142327016178,0.982346338455072
