test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,20260623,8264,1.6390596583336545,2.99150803128113,2.0579226100185024,0.9637670936391166
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,20260715,8264,1.6398051017559359,2.9939804911884966,2.0618470434595597,0.9637071764148922
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,20260718,8264,1.627033958915127,2.9752772927377764,2.045447020931061,0.9641591978624644
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,42,8035,0.9076985095343978,2.273303499946558,1.2384183572167105,0.9808652156724382
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,2025,8035,0.9053010567311206,2.273157052441361,1.2387087590289563,0.9808676809404205
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,8035,0.9177757173612192,2.2829690628528168,1.2500215728066466,0.9807021563706324
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,8035,0.9147960305030949,2.2650586332359968,1.2452110677622612,0.9810037608828088
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,8035,0.9094622820142245,2.2777787310946502,1.23737701125731,0.9807898039457605
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,42,8127,1.2343565595584667,2.8207007730725,1.6593599893148867,0.9702258043109269
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,2025,8127,1.2230942494063162,2.7969307833561343,1.6458320367700896,0.9707255030445925
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,8127,1.2282211560621354,2.801469025951811,1.652016695886594,0.9706304255735627
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,8127,1.232334126636406,2.81568881064974,1.660568036277351,0.9703315188725333
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,8127,1.2240329232522353,2.8060907794472185,1.6467072016306008,0.970533440098882
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,42,8235,1.3946807043881968,2.967854243583483,1.855897885130027,0.9657221799668533
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,2025,8235,1.378857256903433,2.9088679661096046,1.8281452045250157,0.9670711869867417
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,8235,1.3945568626850051,2.9445777215097513,1.8549074287157667,0.9662577451102673
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,8235,1.3835051859624228,2.940376150968116,1.8423955835666583,0.9663539689715849
