node_id,N001,N007,N002,N003,N005,N006,N004,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N019,N018,N021,N024,N023,N020,N022,N025,N026,N028,N027,N029,N030,N031,N032,N033,N034,N035,N036,N037,N038,N039,N040,N041,N042,N043,N044,N045,N046,N047,N048,N049,N050,N051
N024,31.31786507583042,29.193960820545193,28.69594521749332,28.173084325579996,27.221178597958477,27.112161021522276,26.270526190472626,26.055664794667866,23.96181236651308,21.78698181763835,19.844710349802007,16.70945209062745,13.705365548099156,10.503420284780944,8.493266318381671,7.537504266559452,5.45478761033738,4.341775956161392,1.99814555906541,0.9629420575220671,0.0,2.065220139467243,3.116833861789317,4.140853045453831,5.228540304255787,8.283046638460142,9.22705332708773,11.353962319561319,12.367298815115127,15.46733807235644,17.662542216815602,19.858368778095254,21.943394175567526,23.916445742465612,26.03307230210229,29.141331253540557,30.152784413247304,32.23103435840515,35.18573192123235,38.30538875242603,41.44087951072563,44.58760285821483,46.61252494915603,48.64014546564301,51.721725900219035,53.728348279716435,55.86298647017811,58.80130609244396,61.062875043070626,63.08674142741322,64.37212988896988
N023,33.38308521529766,31.259180960012436,30.761165356960564,30.23830446504724,29.28639873742572,29.17738116098952,28.33574632993987,28.12088493413511,26.027032505980323,23.852201957105592,21.90993048926925,18.774672230094694,15.770585687566399,12.568640424248187,10.558486457848915,9.602724406026695,7.520007749804623,6.406996095628635,4.063365698532653,3.02816219698931,2.065220139467243,0.0,1.0516137223220738,2.0756329059865877,3.1633201647885443,6.217826498992899,7.161833187620488,9.288742180094076,10.302078675647884,13.402117932889198,15.597322077348359,17.79314863862801,19.878174036100283,21.85122560299837,23.967852162635047,27.076111114073314,28.08756427378006,30.165814218937903,33.12051178176511,36.24016861295879,39.375659371258386,42.522382718747586,44.54730480968879,46.574925326175766,49.65650576075179,51.66312814024919,53.797766330710864,56.736085952976715,58.99765490360338,61.02152128794598,62.306909749502644
N020,34.434698937619736,32.31079468233451,31.812779079282638,31.289918187369313,30.338012459747794,30.228994883311593,29.387360052261943,29.172498656457183,27.078646228302397,24.903815679427666,22.961544211591324,19.826285952416768,16.822199409888473,13.620254146570261,11.610100180170988,10.654338128348769,8.571621472126697,7.458609817950709,5.114979420854727,4.079775919311384,3.116833861789317,1.0516137223220738,0.0,1.0240191836645138,2.1117064424664704,5.166212776670825,6.110219465298414,8.237128457772002,9.25046495332581,12.350504210567124,14.545708355026285,16.741534916305937,18.82656031377821,20.799611880676295,22.916238440312974,26.02449739175124,27.035950551457987,29.11420049661583,32.068898059443036,35.188554890636716,38.32404564893631,41.47076899642551,43.495691087366716,45.52331160385369,48.60489203842972,50.61151441792712,52.74615260838879,55.68447223065464,57.94604118128131,59.969907565623906,61.25529602718057
N022,35.45871812128425,33.334813865999024,32.836798262947156,32.31393737103383,31.36203164341231,31.253014066976107,30.411379235926457,30.196517840121697,28.10266541196691,25.92783486309218,23.985563395255838,20.850305136081282,17.846218593552987,14.644273330234775,12.634119363835502,11.678357312013283,9.595640655791211,8.482629001615223,6.138998604519241,5.103795102975898,4.140853045453831,2.0756329059865877,1.0240191836645138,0.0,1.0876872588019566,4.142193593006311,5.0862002816339,7.213109274107488,8.226445769661296,11.32648502690261,13.521689171361771,15.717515732641424,17.802541130113696,19.77559269701178,21.89221925664846,25.000478208086726,26.011931367793473,28.090181312951316,31.044878875778522,34.1645357069722,37.3000264652718,40.446749812761,42.4716719037022,44.49929242018918,47.580872854765204,49.587495234262605,51.72213342472428,54.66045304699013,56.922021997616795,58.94588838195939,60.231276843516056
N025,36.546405380086206,34.42250112480098,33.92448552174911,33.40162462983578,32.449718902214265,32.34070132577806,31.499066494728414,31.284205098923653,29.190352670768867,27.015522121894136,25.073250654057794,21.93799239488324,18.933905852354943,15.731960589036731,13.721806622637459,12.76604457081524,10.683327914593168,9.57031626041718,7.2266858633211974,6.1914823617778545,5.228540304255787,3.1633201647885443,2.1117064424664704,1.0876872588019566,0.0,3.054506334204355,3.9985130228319434,6.125422015305531,7.13875851085934,10.238797768100653,12.434001912559815,14.629828473839467,16.71485387131174,18.687905438209825,20.804531997846503,23.91279094928477,24.924244108991516,27.00249405414936,29.957191616976566,33.076848448170246,36.21233920646984,39.35906255395904,41.383984644900245,43.41160516138722,46.49318559596325,48.49980797546065,50.63444616592232,53.57276578818817,55.83433473881484,57.858201123157436,59.1435895847141
N026,39.60091171429056,37.477007459005335,36.97899185595347,36.45613096404014,35.50422523641862,35.39520765998242,34.553572828932765,34.338711433128005,32.24485900497322,30.07002845609849,28.12775698826215,24.992498729087593,21.988412186559298,18.786466923241086,16.776312956841814,15.820550905019594,13.737834248797522,12.624822594621534,10.281192197525552,9.24598869598221,8.283046638460142,6.217826498992899,5.166212776670825,4.142193593006311,3.054506334204355,0.0,0.9440066886275886,3.0709156811011766,4.084252176654985,7.184291433896298,9.37949557835546,11.575322139635112,13.660347537107384,15.63339910400547,17.75002566364215,20.858284615080414,21.86973777478716,23.947987719945004,26.90268528277221,30.02234211396589,33.15783287226549,36.30455621975469,38.32947831069589,40.35709882718287,43.43867926175889,45.44530164125629,47.579939831717965,50.518259453983816,52.779828404610484,54.80369478895308,56.089083250509745
N028,40.54491840291815,38.421014147632924,37.922998544581056,37.40013765266772,36.44823192504621,36.33921434861001,35.497579517560354,35.28271812175559,33.18886569360081,31.01403514472608,29.071763676889738,25.936505417715182,22.932418875186887,19.730473611868675,17.720319645469402,16.764557593647183,14.681840937425111,13.568829283249123,11.22519888615314,10.189995384609798,9.22705332708773,7.161833187620488,6.110219465298414,5.0862002816339,3.9985130228319434,0.9440066886275886,0.0,2.126908992473588,3.1402454880273964,6.24028474526871,8.435488889727871,10.631315451007524,12.716340848479796,14.689392415377881,16.80601897501456,19.914277926452826,20.925731086159573,23.003981031317416,25.958678594144622,29.078335425338302,32.2138261836379,35.3605495311271,37.3854716220683,39.41309213855528,42.494672573131304,44.501294952628704,46.63593314309038,49.57425276535623,51.835821715982895,53.85968810032549,55.145076561882156
N027,42.67182739539174,40.54792314010651,40.049907537054644,39.52704664514131,38.575140917519796,38.466123341083595,37.62448851003394,37.40962711422918,35.3157746860744,33.14094413719967,31.198672669363326,28.06341441018877,25.059327867660475,21.857382604342263,19.84722863794299,18.89146658612077,16.8087499298987,15.69573827572271,13.352107878626729,12.316904377083386,11.353962319561319,9.288742180094076,8.237128457772002,7.213109274107488,6.125422015305531,3.0709156811011766,2.126908992473588,0.0,1.0133364955538084,4.113375752795122,6.308579897254283,8.504406458533936,10.589431856006208,12.562483422904293,14.679109982540972,17.787368933979238,18.798822093685985,20.877072038843828,23.831769601671034,26.951426432864714,30.08691719116431,33.23364053865351,35.258562629594714,37.28618314608169,40.367763580657716,42.37438596015512,44.50902415061679,47.44734377288264,49.70891272350931,51.732779107851904,53.01816756940857
N029,43.685163890945546,41.56125963566032,41.06324403260845,40.54038314069513,39.588477413073605,39.4794598366374,38.63782500558775,38.42296360978299,36.32911118162821,34.154280632753476,32.212009164917134,29.07675090574258,26.072664363214283,22.87071909989607,20.8605651334968,19.90480308167458,17.822086425452508,16.70907477127652,14.365444374180537,13.330240872637194,12.367298815115127,10.302078675647884,9.25046495332581,8.226445769661296,7.13875851085934,4.084252176654985,3.1402454880273964,1.0133364955538084,0.0,3.1000392572413134,5.295243401700475,7.491069962980127,9.576095360452399,11.549146927350485,13.665773486987163,16.77403243842543,17.785485598132176,19.86373554329002,22.818433106117226,25.938089937310906,29.073580695610502,32.2203040430997,34.245226134040905,36.27284665052788,39.35442708510391,41.36104946460131,43.49568765506298,46.43400727732883,48.6955762279555,50.719442612298096,52.00483107385476
N030,46.78520314818686,44.661298892901634,44.163283289849765,43.64042239793643,42.68851667031492,42.57949909387872,41.73786426282906,41.5230028670243,39.42915043886952,37.25431988999479,35.31204842215845,32.17679016298389,29.172703620455597,25.970758357137385,23.960604390738112,23.004842338915893,20.92212568269382,19.809114028517833,17.46548363142185,16.430280129878508,15.46733807235644,13.402117932889198,12.350504210567124,11.32648502690261,10.238797768100653,7.184291433896298,6.24028474526871,4.113375752795122,3.1000392572413134,0.0,2.1952041444591615,4.391030705738814,6.476056103211086,8.449107670109171,10.56573422974585,13.673993181184116,14.685446340890863,16.763696286048706,19.718393848875913,22.838050680069593,25.97354143836919,29.12026478585839,31.145186876799592,33.17280739328657,36.254387827862594,38.261010207359995,40.39564839782167,43.33396802008752,45.595536970714186,47.61940335505678,48.90479181661345
N031,48.98040729264602,46.856503037360795,46.35848743430893,45.8356265423956,44.88372081477408,44.77470323833788,43.933068407288225,43.718207011483464,41.62435458332868,39.44952403445395,37.50725256661761,34.37199430744305,31.367907764914758,28.165962501596546,26.155808535197274,25.200046483375054,23.117329827152982,22.004318172976994,19.660687775881012,18.62548427433767,17.662542216815602,15.597322077348359,14.545708355026285,13.521689171361771,12.434001912559815,9.37949557835546,8.435488889727871,6.308579897254283,5.295243401700475,2.1952041444591615,0.0,2.1958265612796524,4.280851958751924,6.25390352565001,8.370530085286688,11.478789036724955,12.490242196431701,14.568492141589545,17.52318970441675,20.64284653561043,23.778337293910027,26.925060641399227,28.94998273234043,30.977603248827407,34.05918368340343,36.06580606290083,38.200444253362505,41.13876387562836,43.400332826255024,45.42419921059762,46.709587672154285
N032,51.17623385392567,49.05232959864045,48.55431399558858,48.03145310367525,47.07954737605373,46.97052979961753,46.12889496856788,45.91403357276312,43.820181144608334,41.6453505957336,39.70307912789726,36.567820868722706,33.56373432619441,30.3617890628762,28.351635096476926,27.395873044654707,25.313156388432635,24.200144734256646,21.856514337160664,20.82131083561732,19.858368778095254,17.79314863862801,16.741534916305937,15.717515732641424,14.629828473839467,11.575322139635112,10.631315451007524,8.504406458533936,7.491069962980127,4.391030705738814,2.1958265612796524,0.0,2.085025397472272,4.058076964370358,6.174703524007036,9.282962475445302,10.294415635152049,12.372665580309892,15.327363143137099,18.44701997433078,21.582510732630375,24.729234080119575,26.754156171060778,28.781776687547755,31.86335712212378,33.86997950162118,36.00461769208285,38.942937314348704,41.20450626497537,43.22837264931797,44.51376111087463
N033,53.261259251397945,51.13735499611272,50.63933939306085,50.116478501147526,49.164572773526004,49.0555551970898,48.21392036604015,47.99905897023539,45.905206542080606,43.730375993205875,41.78810452536953,38.65284626619498,35.648759723666686,32.44681446034847,30.436660493949198,29.48089844212698,27.398181785904907,26.28517013172892,23.941539734632936,22.906336233089593,21.943394175567526,19.878174036100283,18.82656031377821,17.802541130113696,16.71485387131174,13.660347537107384,12.716340848479796,10.589431856006208,9.576095360452399,6.476056103211086,4.280851958751924,2.085025397472272,0.0,1.9730515668980857,4.089678126534764,7.19793707797303,8.209390237679777,10.28764018283762,13.242337745664827,16.361994576858507,19.497485335158103,22.644208682647303,24.669130773588506,26.696751290075483,29.77833172465151,31.78495410414891,33.91959229461058,36.85791191687643,39.1194808675031,41.1433472518457,42.42873571340236
